city,question
Abu Dhabi United Arab Emirates,Find one urban park for this city
Abuja Nigeria,Find one urban park for this city
Accra Ghana,Find one urban park for this city
Adamstown Pitcairn Islands,Find one urban park for this city
Addis Ababa Ethiopia,Find one urban park for this city
Algiers Algeria,Find one urban park for this city
Alofi Niue,Find one urban park for this city
Amman Jordan,Find one urban park for this city
Amsterdam Netherlands,Find one urban park for this city
Andorra la Vella Andorra,Find one urban park for this city
Ankara Turkey,Find one urban park for this city
Antananarivo Madagascar,Find one urban park for this city
Apia Samoa,Find one urban park for this city
Ashgabat Turkmenistan,Find one urban park for this city
Asmara Eritrea,Find one urban park for this city
Astana Kazakhstan,Find one urban park for this city
Asunción Paraguay,Find one urban park for this city
Athens Greece,Find one urban park for this city
Avarua Cook Islands,Find one urban park for this city
Baghdad Iraq,Find one urban park for this city
Baku Azerbaijan,Find one urban park for this city
Bamako Mali,Find one urban park for this city
Bandar Seri Begawan Brunei,Find one urban park for this city
Bangkok Thailand,Find one urban park for this city
Bangui Central African Republic,Find one urban park for this city
Banjul  Gambia,Find one urban park for this city
Basseterre  Saint Kitts and Nevis,Find one urban park for this city
Beijing  People's Republic of China,Find one urban park for this city
Beirut  Lebanon,Find one urban park for this city
Belfast United Kingdom Northern Ireland,Find one urban park for this city
Belgrade  Serbia,Find one urban park for this city
Belmopan  Belize,Find one urban park for this city
Berlin  Germany,Find one urban park for this city
Bern  Switzerland,Find one urban park for this city
Bishkek  Kyrgyzstan,Find one urban park for this city
Bissau  Guinea-Bissau,Find one urban park for this city
Bogotá  Colombia,Find one urban park for this city
Brasília  Brazil,Find one urban park for this city
Bratislava  Slovakia,Find one urban park for this city
Brazzaville  Republic of the Congo,Find one urban park for this city
Bridgetown  Barbados,Find one urban park for this city
Brussels  Belgium,Find one urban park for this city
Bucharest  Romania,Find one urban park for this city
Budapest  Hungary,Find one urban park for this city
Buenos Aires  Argentina,Find one urban park for this city
Bujumbura  Burundi,Find one urban park for this city
Cairo  Egypt,Find one urban park for this city
Canberra  Australia,Find one urban park for this city
Caracas  Venezuela,Find one urban park for this city
Cardiff  Wales,Find one urban park for this city
Castries  Saint Lucia,Find one urban park for this city
Cayenne  French Guiana,Find one urban park for this city
Charlotte Amalie  United States Virgin Islands,Find one urban park for this city
Chisinau  Moldova,Find one urban park for this city
Cockburn Town  Turks and Caicos Islands,Find one urban park for this city
Conakry  Guinea,Find one urban park for this city
Copenhagen  Denmark,Find one urban park for this city
Dakar  Senegal,Find one urban park for this city
Damascus  Syria,Find one urban park for this city
Dhaka  Bangladesh,Find one urban park for this city
Dili  East Timor (Timor-Leste),Find one urban park for this city
Djibouti  Djibouti,Find one urban park for this city
Dar es Salaam Tanzania,Find one urban park for this city
Doha  Qatar,Find one urban park for this city
Douglas  Isle of Man,Find one urban park for this city
Dublin  Ireland,Find one urban park for this city
Dushanbe  Tajikistan,Find one urban park for this city
Edinburgh  Scotland,Find one urban park for this city
Edinburgh of the Seven Seas  Tristan da Cunha,Find one urban park for this city
El Aaiún (declared)  Sahrawi Arab Democratic Republic,Find one urban park for this city
Episkopi Cantonment  Akrotiri and Dhekelia,Find one urban park for this city
Flying Fish Cove  Christmas Island,Find one urban park for this city
Freetown  Sierra Leone,Find one urban park for this city
Funafuti  Tuvalu,Find one urban park for this city
Gaborone  Botswana,Find one urban park for this city
George Town  Cayman Islands,Find one urban park for this city
Georgetown  Ascension Island,Find one urban park for this city
Georgetown  Guyana,Find one urban park for this city
Gibraltar  Gibraltar,Find one urban park for this city
Grytviken  South Georgia and the South Sandwich Islands,Find one urban park for this city
Guatemala City  Guatemala,Find one urban park for this city
Gustavia  Saint Barthélemy,Find one urban park for this city
Hagåtña  Guam,Find one urban park for this city
Hamilton  Bermuda,Find one urban park for this city
Hanga Roa  Easter Island,Find one urban park for this city
Hanoi  Vietnam,Find one urban park for this city
Harare  Zimbabwe,Find one urban park for this city
Hargeisa  Somaliland,Find one urban park for this city
Havana  Cuba,Find one urban park for this city
Helsinki  Finland,Find one urban park for this city
Honiara  Solomon Islands,Find one urban park for this city
Islamabad  Pakistan,Find one urban park for this city
Jakarta  Indonesia,Find one urban park for this city
Jamestown  Saint Helena,Find one urban park for this city
Jerusalem Israel,Find one urban park for this city
Ramallah and Gaza State of Palestine,Find one urban park for this city
Juba  South Sudan,Find one urban park for this city
Kabul  Afghanistan,Find one urban park for this city
Kampala  Uganda,Find one urban park for this city
Kathmandu  Nepal,Find one urban park for this city
Khartoum  Sudan,Find one urban park for this city
Kiev  Ukraine,Find one urban park for this city
Kigali  Rwanda,Find one urban park for this city
Kingston  Jamaica,Find one urban park for this city
Kingston  Norfolk Island,Find one urban park for this city
Kingstown  Saint Vincent and the Grenadines,Find one urban park for this city
Kinshasa  Democratic Republic of the Congo,Find one urban park for this city
Kuala Lumpur  Malaysia,Find one urban park for this city
Kuwait City  Kuwait,Find one urban park for this city
Libreville  Gabon,Find one urban park for this city
Lilongwe  Malawi,Find one urban park for this city
Lima  Peru,Find one urban park for this city
Lisbon  Portugal,Find one urban park for this city
Ljubljana  Slovenia,Find one urban park for this city
Lomé  Togo,Find one urban park for this city
London  United Kingdom,Find one urban park for this city
Luanda  Angola,Find one urban park for this city
Lusaka  Zambia,Find one urban park for this city
Luxembourg  Luxembourg,Find one urban park for this city
Madrid  Spain,Find one urban park for this city
Majuro  Marshall Islands,Find one urban park for this city
Malabo  Equatorial Guinea,Find one urban park for this city
Malé  Maldives,Find one urban park for this city
Managua  Nicaragua,Find one urban park for this city
Manama  Bahrain,Find one urban park for this city
Manila  Philippines,Find one urban park for this city
Maputo  Mozambique,Find one urban park for this city
Marigot  Saint Martin,Find one urban park for this city
Maseru  Lesotho,Find one urban park for this city
Mata-Utu  Wallis and Futuna,Find one urban park for this city
Lobamba  Swaziland,Find one urban park for this city
Melekeok  Palau,Find one urban park for this city
Mexico City [e]  Mexico,Find one urban park for this city
Minsk  Belarus,Find one urban park for this city
Mogadishu  Somalia,Find one urban park for this city
Monaco  Monaco,Find one urban park for this city
Monrovia  Liberia,Find one urban park for this city
Montevideo  Uruguay,Find one urban park for this city
Moroni  Comoros,Find one urban park for this city
Moscow  Russia,Find one urban park for this city
Muscat  Oman,Find one urban park for this city
Nairobi Kenya,Find one urban park for this city
Nassau  Bahamas,Find one urban park for this city
Naypyidaw  Myanmar,Find one urban park for this city
N'Djamena  Chad,Find one urban park for this city
New Delhi  India,Find one urban park for this city
Niamey  Niger,Find one urban park for this city
Nicosia  Cyprus,Find one urban park for this city
Nicosia  Northern Cyprus,Find one urban park for this city
Nouakchott  Mauritania,Find one urban park for this city
Nouméa  New Caledonia,Find one urban park for this city
Nukuʻalofa  Tonga,Find one urban park for this city
Nuuk  Greenland,Find one urban park for this city
Oranjestad  Aruba,Find one urban park for this city
Oslo  Norway,Find one urban park for this city
Ottawa  Canada,Find one urban park for this city
Ouagadougou Burkina Faso,Find one urban park for this city
Pago Pago  American Samoa,Find one urban park for this city
Palikir  Federated States of Micronesia,Find one urban park for this city
Panama City  Panama,Find one urban park for this city
Papeete  French Polynesia,Find one urban park for this city
Paramaribo  Suriname,Find one urban park for this city
Paris  France,Find one urban park for this city
Philipsburg  Sint Maarten,Find one urban park for this city
Phnom Penh  Cambodia,Find one urban park for this city
Plymouth Montserrat,Find one urban park for this city
Podgorica  Montenegro,Find one urban park for this city
Port Louis  Mauritius,Find one urban park for this city
Port Moresby  Papua New Guinea,Find one urban park for this city
Port Vila  Vanuatu,Find one urban park for this city
Port-au-Prince  Haiti,Find one urban park for this city
Port of Spain  Trinidad and Tobago,Find one urban park for this city
Porto-Novo Benin,Find one urban park for this city
Prague  Czech Republic,Find one urban park for this city
Praia  Cape Verde,Find one urban park for this city
Cape Town South Africa,Find one urban park for this city
Pristina  Kosovo,Find one urban park for this city
Pyongyang  North Korea,Find one urban park for this city
Quito  Ecuador,Find one urban park for this city
Rabat  Morocco,Find one urban park for this city
Reykjavík  Iceland,Find one urban park for this city
Riga  Latvia,Find one urban park for this city
Riyadh  Saudi Arabia,Find one urban park for this city
Road Town  British Virgin Islands,Find one urban park for this city
Rome  Italy,Find one urban park for this city
Roseau  Dominica,Find one urban park for this city
Saipan  Northern Mariana Islands,Find one urban park for this city
San José  Costa Rica,Find one urban park for this city
San Juan  Puerto Rico,Find one urban park for this city
San Marino  San Marino,Find one urban park for this city
San Salvador  El Salvador,Find one urban park for this city
Sanaá  Yemen,Find one urban park for this city
Santiago  Chile,Find one urban park for this city
Santo Domingo  Dominican Republic,Find one urban park for this city
São Tomé  São Tomé and Príncipe,Find one urban park for this city
Sarajevo  Bosnia and Herzegovina,Find one urban park for this city
Seoul  South Korea,Find one urban park for this city
Singapore  Singapore,Find one urban park for this city
Skopje  Macedonia,Find one urban park for this city
Sofia  Bulgaria,Find one urban park for this city
Sri Jayawardenapura-Kotte Sri Lanka,Find one urban park for this city
St. George's  Grenada,Find one urban park for this city
St. Helier  Jersey,Find one urban park for this city
St. John's  Antigua and Barbuda,Find one urban park for this city
St. Peter Port  Guernsey,Find one urban park for this city
St. Pierre  Saint Pierre and Miquelon,Find one urban park for this city
Stanley  Falkland Islands,Find one urban park for this city
Stepanakert  Nagorno-Karabakh Republic,Find one urban park for this city
Stockholm  Sweden,Find one urban park for this city
La Paz Bolivia,Find one urban park for this city
Sukhumi  Abkhazia,Find one urban park for this city
Suva  Fiji,Find one urban park for this city
Taipei  Taiwan,Find one urban park for this city
Tallinn  Estonia,Find one urban park for this city
Tarawa  Kiribati,Find one urban park for this city
Tashkent  Uzbekistan,Find one urban park for this city
Tbilisi  Georgia,Find one urban park for this city
Tegucigalpa  Honduras,Find one urban park for this city
Tehran  Iran,Find one urban park for this city
Thimphu  Bhutan,Find one urban park for this city
Tirana  Albania,Find one urban park for this city
Tiraspol  Transnistria,Find one urban park for this city
Tokyo  Japan,Find one urban park for this city
Tórshavn  Faroe Islands,Find one urban park for this city
Tripoli  Libya,Find one urban park for this city
Tskhinvali  South Ossetia,Find one urban park for this city
Tunis  Tunisia,Find one urban park for this city
Ulan Bator  Mongolia,Find one urban park for this city
Vaduz  Liechtenstein,Find one urban park for this city
Valletta  Malta,Find one urban park for this city
The Valley  Anguilla,Find one urban park for this city
Vatican City  Vatican City,Find one urban park for this city
Victoria  Seychelles,Find one urban park for this city
Vienna  Austria,Find one urban park for this city
Vientiane  Laos,Find one urban park for this city
Vilnius  Lithuania,Find one urban park for this city
Warsaw  Poland,Find one urban park for this city
Washington D.C.  United States,Find one urban park for this city
Wellington  New Zealand,Find one urban park for this city
West Island  Cocos (Keeling) Islands,Find one urban park for this city
Willemstad  Curaçao,Find one urban park for this city
Windhoek  Namibia,Find one urban park for this city
Yaoundé  Cameroon,Find one urban park for this city
Yaren Nauru,Find one urban park for this city
Yerevan  Armenia,Find one urban park for this city
Zagreb  Croatia,Find one urban park for this city
